date,pm25_daily,y,month,station_id
2022-04-21,4.2,1.4586150226995167,4,KAM
2022-04-22,6.7,1.916922612182061,4,KAM
2022-04-23,5.4,1.7047480922384253,4,KAM
2022-04-24,3.6,1.308332819650179,4,KAM
2022-04-25,4.9,1.6094379124341003,4,KAM
2022-04-26,4.3,1.4816045409242153,4,KAM
2022-04-27,2,0.7419373447293773,4,KAM
2022-04-28,6,1.8082887711792655,4,KAM
2022-04-29,7.9,2.0794415416798357,4,KAM
2022-04-30,14.6,2.6878474937846906,4,KAM
2022-05-01,20.7,3.0349529867072724,5,KAM
2022-05-02,8.2,2.116255514802552,5,KAM
2022-05-03,6.6,1.9021075263969203,5,KAM
2022-05-04,4.1,1.4350845252893225,5,KAM
2022-05-05,6.9,1.9459101490553132,5,KAM
2022-05-06,5.2,1.667706820558076,5,KAM
2022-05-07,3.9,1.3862943611198906,5,KAM
2022-05-08,2.2,0.8329091229351041,5,KAM
2022-05-09,4.2,1.4586150226995167,5,KAM
2022-05-10,4.5,1.5260563034950492,5,KAM
2022-05-11,4.5,1.5260563034950492,5,KAM
2022-05-12,4.1,1.4350845252893225,5,KAM
2022-05-13,2.5,0.9555114450274363,5,KAM
2022-05-14,4.4,1.5040773967762742,5,KAM
2022-05-15,3.8,1.3609765531356006,5,KAM
2022-05-16,4.7,1.5686159179138452,5,KAM
2022-05-17,5,1.62924053973028,5,KAM
2022-05-18,5.2,1.667706820558076,5,KAM
2022-05-19,5,1.62924053973028,5,KAM
2022-05-20,5.9,1.791759469228055,5,KAM
2022-05-21,5,1.62924053973028,5,KAM
2022-05-22,8.4,2.1400661634962708,5,KAM
2022-05-23,6.2,1.840549633397487,5,KAM
2022-05-24,8.4,2.1400661634962708,5,KAM
2022-05-25,3,1.1314021114911006,5,KAM
2022-05-26,5.7,1.7578579175523736,5,KAM
2022-05-27,4.7,1.5686159179138452,5,KAM
2022-05-28,4.2,1.4586150226995167,5,KAM
2022-05-29,4.9,1.6094379124341003,5,KAM
2022-05-30,4.2,1.4586150226995167,5,KAM
2022-05-31,6.2,1.840549633397487,5,KAM
2022-06-01,6.3,1.856297990365626,6,KAM
2022-06-02,6,1.8082887711792655,6,KAM
2022-06-03,5.5,1.7227665977411035,6,KAM
2022-06-04,2.2,0.8329091229351041,6,KAM
2022-06-05,2.8,1.0647107369924282,6,KAM
2022-06-06,1.8,0.6418538861723948,6,KAM
2022-06-07,3.7,1.3350010667323402,6,KAM
2022-06-08,2.6,0.9932517730102834,6,KAM
2022-06-09,3.7,1.3350010667323402,6,KAM
2022-06-10,2.8,1.0647107369924282,6,KAM
2022-06-11,2.6,0.9932517730102834,6,KAM
2022-06-12,3.4,1.252762968495368,6,KAM
2022-06-13,3.5,1.2809338454620642,6,KAM
2022-06-14,8.4,2.1400661634962708,6,KAM
2022-06-15,5.9,1.791759469228055,6,KAM
2022-06-16,5,1.62924053973028,6,KAM
2022-06-17,5,1.62924053973028,6,KAM
2022-06-18,7.4,2.0149030205422647,6,KAM
2022-06-19,4.1,1.4350845252893225,6,KAM
2022-06-20,7.4,2.0149030205422647,6,KAM
2022-06-21,3.6,1.308332819650179,6,KAM
2022-06-22,6.4,1.8718021769015913,6,KAM
2022-06-23,2.6,0.9932517730102834,6,KAM
2022-06-24,7.4,2.0149030205422647,6,KAM
2022-06-25,6.7,1.916922612182061,6,KAM
2022-06-26,7.6,2.0412203288596382,6,KAM
2022-06-27,8.2,2.116255514802552,6,KAM
2022-06-28,6.7,1.916922612182061,6,KAM
2022-06-29,4.4,1.5040773967762742,6,KAM
2022-06-30,6.6,1.9021075263969203,6,KAM
2022-07-01,6.4,1.8718021769015913,7,KAM
2022-07-02,10.8,2.388762789235098,7,KAM
2022-07-03,8.3,2.128231705849268,7,KAM
2022-07-04,3,1.1314021114911006,7,KAM
2022-07-05,7.3,2.001480000210124,7,KAM
2022-07-06,6.2,1.840549633397487,7,KAM
2022-07-07,5.7,1.7578579175523736,7,KAM
2022-07-08,4.4,1.5040773967762742,7,KAM
2022-07-09,7.4,2.0149030205422647,7,KAM
2022-07-10,6.2,1.840549633397487,7,KAM
2022-07-11,3.9,1.3862943611198906,7,KAM
2022-07-12,4.8,1.5892352051165808,7,KAM
2022-07-13,4.1,1.4350845252893225,7,KAM
2022-07-14,5.3,1.6863989535702286,7,KAM
2022-07-15,4.7,1.5686159179138452,7,KAM
2022-07-16,4.9,1.6094379124341003,7,KAM
2022-07-17,5.9,1.791759469228055,7,KAM
2022-07-18,5.3,1.6863989535702286,7,KAM
2022-07-19,5.7,1.7578579175523736,7,KAM
2022-07-20,6.9,1.9459101490553132,7,KAM
2022-07-21,12.8,2.5572273113676265,7,KAM
2022-07-22,8.4,2.1400661634962708,7,KAM
2022-07-23,7.4,2.0149030205422647,7,KAM
2022-07-24,6.2,1.840549633397487,7,KAM
2022-07-25,6,1.8082887711792655,7,KAM
2022-07-26,5.8,1.7749523509116736,7,KAM
2022-07-27,8.5,2.151762203259462,7,KAM
2022-07-28,13.5,2.6100697927420065,7,KAM
2022-07-29,13.9,2.6390573296152584,7,KAM
2022-07-30,9.7,2.282382385676526,7,KAM
2022-07-31,9.3,2.2407096892759584,7,KAM
2022-08-01,5.9,1.791759469228055,8,KAM
2022-08-02,6.5,1.8870696490323797,8,KAM
2022-08-03,3.3,1.2237754316221157,8,KAM
