station_id,date,pm25_daily,n_rows_combined,year,month,y
KAM,2022-03-31,6.6,1,2022,3,1.9021075263969203
KAM,2022-04-01,14.4,1,2022,4,2.6741486494265287
KAM,2022-04-02,7.9,1,2022,4,2.0794415416798357
KAM,2022-04-03,5.1,1,2022,4,1.6486586255873816
KAM,2022-04-04,6.9,1,2022,4,1.9459101490553132
KAM,2022-04-05,8.2,1,2022,4,2.116255514802552
KAM,2022-04-06,8.4,1,2022,4,2.1400661634962708
KAM,2022-04-07,12.1,1,2022,4,2.501435951739211
KAM,2022-04-08,11.5,1,2022,4,2.451005098112319
KAM,2022-04-09,5.9,1,2022,4,1.791759469228055
KAM,2022-04-10,7.7,1,2022,4,2.0541237336955462
KAM,2022-04-12,5.6,1,2022,4,1.7404661748405044
KAM,2022-04-13,7.2,1,2022,4,1.9878743481543455
KAM,2022-04-14,8.7,1,2022,4,2.1747517214841605
KAM,2022-04-15,5.9,1,2022,4,1.791759469228055
KAM,2022-04-16,10.2,1,2022,4,2.33214389523559
KAM,2022-04-17,7.3,1,2022,4,2.001480000210124
KAM,2022-04-18,6,1,2022,4,1.8082887711792655
KAM,2022-04-19,2.9,1,2022,4,1.0986122886681098
KAM,2022-04-20,14.8,1,2022,4,2.7013612129514133
KAM,2022-04-21,4.2,1,2022,4,1.4586150226995167
KAM,2022-04-22,6.7,1,2022,4,1.916922612182061
KAM,2022-04-23,5.4,1,2022,4,1.7047480922384253
KAM,2022-04-24,3.6,1,2022,4,1.308332819650179
KAM,2022-04-25,4.9,1,2022,4,1.6094379124341003
KAM,2022-04-26,4.3,1,2022,4,1.4816045409242153
KAM,2022-04-27,2,1,2022,4,0.7419373447293773
KAM,2022-04-28,6,1,2022,4,1.8082887711792655
KAM,2022-04-29,7.9,1,2022,4,2.0794415416798357
KAM,2022-04-30,14.6,1,2022,4,2.6878474937846906
KAM,2022-05-01,20.7,1,2022,5,3.0349529867072724
KAM,2022-05-02,8.2,1,2022,5,2.116255514802552
KAM,2022-05-03,6.6,1,2022,5,1.9021075263969203
KAM,2022-05-04,4.1,1,2022,5,1.4350845252893225
KAM,2022-05-05,6.9,1,2022,5,1.9459101490553132
KAM,2022-05-06,5.2,1,2022,5,1.667706820558076
KAM,2022-05-07,3.9,1,2022,5,1.3862943611198906
KAM,2022-05-08,2.2,1,2022,5,0.8329091229351041
KAM,2022-05-09,4.2,1,2022,5,1.4586150226995167
KAM,2022-05-10,4.5,1,2022,5,1.5260563034950492
KAM,2022-05-11,4.5,1,2022,5,1.5260563034950492
KAM,2022-05-12,4.1,1,2022,5,1.4350845252893225
KAM,2022-05-13,2.5,1,2022,5,0.9555114450274363
KAM,2022-05-14,4.4,1,2022,5,1.5040773967762742
KAM,2022-05-15,3.8,1,2022,5,1.3609765531356006
KAM,2022-05-16,4.7,1,2022,5,1.5686159179138452
KAM,2022-05-17,5,1,2022,5,1.62924053973028
KAM,2022-05-18,5.2,1,2022,5,1.667706820558076
KAM,2022-05-19,5,1,2022,5,1.62924053973028
KAM,2022-05-20,5.9,1,2022,5,1.791759469228055
KAM,2022-05-21,5,1,2022,5,1.62924053973028
KAM,2022-05-22,8.4,1,2022,5,2.1400661634962708
KAM,2022-05-23,6.2,1,2022,5,1.840549633397487
