Station:Prince George Plaza 400 -  , Date Time                 , PM25    
 ,                           , ug/m3   
 , 5/12/2022 24:00 AM        ,         
 , 5/13/2022 24:00 AM        , 4.6     
 , 5/14/2022 24:00 AM        , 4.6     
 , 5/15/2022 24:00 AM        , 5.8     
 , 5/16/2022 24:00 AM        , 5.8     
 , 5/17/2022 24:00 AM        , 3.3     
 , 5/18/2022 24:00 AM        , 4.1     
 , 5/19/2022 24:00 AM        , 4.1     
 , 5/20/2022 24:00 AM        , 8.0     
 , 5/21/2022 24:00 AM        , 10.0    
 , 5/22/2022 24:00 AM        , 4.4     
 , 5/23/2022 24:00 AM        , 3.6     
 , 5/24/2022 24:00 AM        , 2.0     
 , 5/25/2022 24:00 AM        , 5.2     
 , 5/26/2022 24:00 AM        , 1.9     
 , 5/27/2022 24:00 AM        , 9.1     
 , 5/28/2022 24:00 AM        , 3.3     
 , 5/29/2022 24:00 AM        , 5.3     
 , 5/30/2022 24:00 AM        , 7.7     
 , 5/31/2022 24:00 AM        , 9.8     
 , 6/1/2022 24:00 AM         , 5.4     
 , 6/2/2022 24:00 AM         , 10.4    
 , 6/3/2022 24:00 AM         , 11.5    
 , 6/4/2022 24:00 AM         , 3.7     
 , 6/5/2022 24:00 AM         , 6.5     
 , 6/6/2022 24:00 AM         , 1.6     
 , 6/7/2022 24:00 AM         , 2.7     
 , 6/8/2022 24:00 AM         , 5.8     
 , 6/9/2022 24:00 AM         , 8.0     
 , 6/10/2022 24:00 AM        , 4.5     
 , 6/11/2022 24:00 AM        , 4.7     
 , 6/12/2022 24:00 AM        , 2.7     
 , 6/13/2022 24:00 AM        , 3.5     
 , 6/14/2022 24:00 AM        , 8.1     
 , 6/15/2022 24:00 AM        , 8.0     
 , 6/16/2022 24:00 AM        , 6.9     
 , 6/17/2022 24:00 AM        , 4.3     
 , 6/18/2022 24:00 AM        , 5.2     
 , 6/19/2022 24:00 AM        , 7.7     
 , 6/20/2022 24:00 AM        , 3.7     
 , 6/21/2022 24:00 AM        , 4.3     
 , 6/22/2022 24:00 AM        , 2.7     
 , 6/23/2022 24:00 AM        , 4.0     
 , 6/24/2022 24:00 AM        , 9.2     
 , 6/25/2022 24:00 AM        , 14.5    
 , 6/26/2022 24:00 AM        , 17.4    
 , 6/27/2022 24:00 AM        , 15.0    
 , 6/28/2022 24:00 AM        , 10.7    
 , 6/29/2022 24:00 AM        , 12.8    
 , 6/30/2022 24:00 AM        , 16.7    
 , 7/1/2022 24:00 AM         , 12.9    
 , 7/2/2022 24:00 AM         , 10.4    
 , 7/3/2022 24:00 AM         , 9.9     
 , 7/4/2022 24:00 AM         , 13.0    
 , 7/5/2022 24:00 AM         ,         
 , 7/6/2022 24:00 AM         , 7.8     
 , 7/7/2022 24:00 AM         , 5.4     
 , 7/8/2022 24:00 AM         , 3.7     
 , 7/9/2022 24:00 AM         , 3.8     
 , 7/10/2022 24:00 AM        , 3.5     
 , 7/11/2022 24:00 AM        , 3.7     
 , 7/12/2022 24:00 AM        , 4.8     
 , 7/13/2022 24:00 AM        , 3.4     
 , 7/14/2022 24:00 AM        , 8.0     
 , 7/15/2022 24:00 AM        , 11.9    
 , 7/16/2022 24:00 AM        , 3.3     
 , 7/17/2022 24:00 AM        , 3.9     
 , 7/18/2022 24:00 AM        , 5.9     
 , 7/19/2022 24:00 AM        , 3.7     
 , 7/20/2022 24:00 AM        , 4.9     
 , 7/21/2022 24:00 AM        , 6.5     
 , 7/22/2022 24:00 AM        , 8.1     
 , 7/23/2022 24:00 AM        , 9.9     
 , 7/24/2022 24:00 AM        , 6.5     
 , 7/25/2022 24:00 AM        , 5.5     
 , 7/26/2022 24:00 AM        , 6.6     
 , 7/27/2022 24:00 AM        , 12.5    
 , 7/28/2022 24:00 AM        , 9.7     
 , 7/29/2022 24:00 AM        , 9.4     
 , 7/30/2022 24:00 AM        , 8.0     
 , 7/31/2022 24:00 AM        , 5.9     
 , 8/1/2022 24:00 AM         , 3.5     
 , 8/2/2022 24:00 AM         , 4.5     
 , 8/3/2022 24:00 AM         ,         
 , 8/4/2022 24:00 AM         ,         
 , 8/5/2022 24:00 AM         ,         
 , 8/6/2022 24:00 AM         ,         
 , 8/7/2022 24:00 AM         ,         
 , 8/8/2022 24:00 AM         ,         
 , 8/9/2022 24:00 AM         ,         
 , 8/10/2022 24:00 AM        ,         
 , 8/11/2022 24:00 AM        ,         
 , 8/12/2022 24:00 AM        ,         
 , 8/13/2022 24:00 AM        ,         
 , 8/14/2022 24:00 AM        ,         
 , 8/15/2022 24:00 AM        ,         
 , 8/16/2022 24:00 AM        ,         
 , 8/17/2022 24:00 AM        ,         
 , 8/18/2022 24:00 AM        ,         
 , 8/19/2022 24:00 AM        ,         
 , 8/20/2022 24:00 AM        ,         
 , 8/21/2022 24:00 AM        ,         
 , 8/22/2022 24:00 AM        ,         
 , 8/23/2022 24:00 AM        ,         
 , 8/24/2022 24:00 AM        ,         
 , 8/25/2022 24:00 AM        ,         
 , 8/26/2022 24:00 AM        ,         
 , 8/27/2022 24:00 AM        ,         
 , 8/28/2022 24:00 AM        ,         
 , 8/29/2022 24:00 AM        ,         
 , 8/30/2022 24:00 AM        ,         
 , 8/31/2022 24:00 AM        ,         
 , 9/1/2022 24:00 AM         ,         
 , 9/2/2022 24:00 AM         ,         
 , 9/3/2022 24:00 AM         ,         
 , 9/4/2022 24:00 AM         ,         
 , 9/5/2022 24:00 AM         ,         
 , 9/6/2022 24:00 AM         ,         
 , 9/7/2022 24:00 AM         ,         
 , 9/8/2022 24:00 AM         ,         
 , 9/9/2022 24:00 AM         ,         
 , 9/10/2022 24:00 AM        ,         
 , 9/11/2022 24:00 AM        ,         
 , 9/12/2022 24:00 AM        ,         
 , 9/13/2022 24:00 AM        ,         
 , 9/14/2022 24:00 AM        ,         
 , 9/15/2022 24:00 AM        ,         
 , 9/16/2022 24:00 AM        ,         
 , 9/17/2022 24:00 AM        ,         
 , 9/18/2022 24:00 AM        ,         
 , 9/19/2022 24:00 AM        ,         
 , 9/20/2022 24:00 AM        ,         
 , 9/21/2022 24:00 AM        ,         
 , 9/22/2022 24:00 AM        ,         
 , 9/23/2022 24:00 AM        ,         
 , 9/24/2022 24:00 AM        ,         
 , 9/25/2022 24:00 AM        ,         
 , 9/26/2022 24:00 AM        ,         
 , 9/27/2022 24:00 AM        ,         
 , 9/28/2022 24:00 AM        ,         
 , 9/29/2022 24:00 AM        ,         
 , 9/30/2022 24:00 AM        ,         
 , 10/1/2022 24:00 AM        ,         
 , 10/2/2022 24:00 AM        ,         
 , 10/3/2022 24:00 AM        ,         
 , 10/4/2022 24:00 AM        ,         
 , 10/5/2022 24:00 AM        ,         
 , 10/6/2022 24:00 AM        ,         
 , 10/7/2022 24:00 AM        ,         
 , 10/8/2022 24:00 AM        ,         
 , 10/9/2022 24:00 AM        ,         
 , 10/10/2022 24:00 AM       ,         
 , 10/11/2022 24:00 AM       ,         
 , 10/12/2022 24:00 AM       ,         
 , 10/13/2022 24:00 AM       ,         
 , 10/14/2022 24:00 AM       ,         
 , 10/15/2022 24:00 AM       ,         
 , 10/16/2022 24:00 AM       ,         
 , 10/17/2022 24:00 AM       ,         
 , 10/18/2022 24:00 AM       ,         
 , 10/19/2022 24:00 AM       ,         
 , 10/20/2022 24:00 AM       ,         
 , 10/21/2022 24:00 AM       ,         
 , 10/22/2022 24:00 AM       ,         
 , 10/23/2022 24:00 AM       ,         
 , 10/24/2022 24:00 AM       ,         
 , 10/25/2022 24:00 AM       ,         
 , 10/26/2022 24:00 AM       ,         
 , 10/27/2022 24:00 AM       ,         
 , 10/28/2022 24:00 AM       ,         
 , 10/29/2022 24:00 AM       ,         
 , 10/30/2022 24:00 AM       ,         
 , 10/31/2022 24:00 AM       ,         
 , 11/1/2022 24:00 AM        ,         
 , 11/2/2022 24:00 AM        ,         
 , 11/3/2022 24:00 AM        ,         
 , 11/4/2022 24:00 AM        ,         
 , 11/5/2022 24:00 AM        ,         
 , 11/6/2022 24:00 AM        ,         
 , 11/7/2022 24:00 AM        ,         
 , 11/8/2022 24:00 AM        ,         
 , 11/9/2022 24:00 AM        ,         
 , 11/10/2022 24:00 AM       ,         
 , 11/11/2022 24:00 AM       ,         
 , 11/12/2022 24:00 AM       ,         
 , 11/13/2022 24:00 AM       ,         
 , 11/14/2022 24:00 AM       ,         
 , 11/15/2022 24:00 AM       ,         
 , 11/16/2022 24:00 AM       ,         
 , 11/17/2022 24:00 AM       , 12.1    
 , 11/18/2022 24:00 AM       , 24.7    
 , 11/19/2022 24:00 AM       , 26.9    
 , 11/20/2022 24:00 AM       , 15.2    
 , 11/21/2022 24:00 AM       , 8.7     
 , 11/22/2022 24:00 AM       , 6.8     
 , 11/23/2022 24:00 AM       , 4.9     
 , 11/24/2022 24:00 AM       , 3.4     
 , 11/25/2022 24:00 AM       , 3.9     
 , 11/26/2022 24:00 AM       , 4.5     
 , 11/27/2022 24:00 AM       , 2.2     
 , 11/28/2022 24:00 AM       , 5.7     
 , 11/29/2022 24:00 AM       , 9.9     
 , 11/30/2022 24:00 AM       , 4.6     
 , 12/1/2022 24:00 AM        , 7.2     
