Station:Kamloops Federal Building -  , Date Time                 , PM25    
 ,                           , ug/m3   
 , 5/10/2024 24:00 AM        , 10.1    
 , 5/11/2024 24:00 AM        , 8.5     
 , 5/12/2024 24:00 AM        , 5.9     
 , 5/13/2024 24:00 AM        , 4.3     
 , 5/14/2024 24:00 AM        , 5.7     
 , 5/15/2024 24:00 AM        , 7.1     
 , 5/16/2024 24:00 AM        , 3.0     
 , 5/17/2024 24:00 AM        , 2.5     
 , 5/18/2024 24:00 AM        , 3.2     
 , 5/19/2024 24:00 AM        , 4.2     
 , 5/20/2024 24:00 AM        , 4.1     
 , 5/21/2024 24:00 AM        , 2.1     
 , 5/22/2024 24:00 AM        , 5.2     
 , 5/23/2024 24:00 AM        , 5.1     
 , 5/24/2024 24:00 AM        , 5.6     
 , 5/25/2024 24:00 AM        , 3.1     
 , 5/26/2024 24:00 AM        , 1.4     
 , 5/27/2024 24:00 AM        , 3.1     
 , 5/28/2024 24:00 AM        , 4.5     
 , 5/29/2024 24:00 AM        , 3.4     
 , 5/30/2024 24:00 AM        , 6.0     
 , 5/31/2024 24:00 AM        , 4.4     
 , 6/1/2024 24:00 AM         , 3.5     
 , 6/2/2024 24:00 AM         , 2.0     
 , 6/3/2024 24:00 AM         , 2.3     
 , 6/4/2024 24:00 AM         , 3.2     
 , 6/5/2024 24:00 AM         , 2.5     
 , 6/6/2024 24:00 AM         , 4.8     
 , 6/7/2024 24:00 AM         , 3.9     
 , 6/8/2024 24:00 AM         , 3.2     
 , 6/9/2024 24:00 AM         , 5.6     
 , 6/10/2024 24:00 AM        , 5.6     
 , 6/11/2024 24:00 AM        , 2.9     
 , 6/12/2024 24:00 AM        , 3.3     
 , 6/13/2024 24:00 AM        , 4.1     
 , 6/14/2024 24:00 AM        , 3.1     
 , 6/15/2024 24:00 AM        , 2.1     
 , 6/16/2024 24:00 AM        , 4.2     
 , 6/17/2024 24:00 AM        , 4.6     
 , 6/18/2024 24:00 AM        , 9.4     
 , 6/19/2024 24:00 AM        , 5.4     
 , 6/20/2024 24:00 AM        , 6.9     
 , 6/21/2024 24:00 AM        , 6.2     
 , 6/22/2024 24:00 AM        , 4.8     
 , 6/23/2024 24:00 AM        , 1.3     
 , 6/24/2024 24:00 AM        , 1.6     
 , 6/25/2024 24:00 AM        , 3.8     
 , 6/26/2024 24:00 AM        , 4.0     
 , 6/27/2024 24:00 AM        , 2.1     
 , 6/28/2024 24:00 AM        , 2.3     
 , 6/29/2024 24:00 AM        , 5.0     
 , 6/30/2024 24:00 AM        , 5.1     
 , 7/1/2024 24:00 AM         , 5.8     
 , 7/2/2024 24:00 AM         , 2.5     
 , 7/3/2024 24:00 AM         , 5.1     
 , 7/4/2024 24:00 AM         , 6.6     
 , 7/5/2024 24:00 AM         , 6.6     
 , 7/6/2024 24:00 AM         , 5.9     
 , 7/7/2024 24:00 AM         , 8.2     
 , 7/8/2024 24:00 AM         , 9.3     
 , 7/9/2024 24:00 AM         , 9.8     
 , 7/10/2024 24:00 AM        , 6.9     
 , 7/11/2024 24:00 AM        , 4.5     
 , 7/12/2024 24:00 AM        , 5.6     
 , 7/13/2024 24:00 AM        , 6.4     
 , 7/14/2024 24:00 AM        , 7.5     
 , 7/15/2024 24:00 AM        , 8.1     
 , 7/16/2024 24:00 AM        , 9.8     
 , 7/17/2024 24:00 AM        , 15.9    
 , 7/18/2024 24:00 AM        , 16.5    
 , 7/19/2024 24:00 AM        , 7.3     
 , 7/20/2024 24:00 AM        , 15.7    
 , 7/21/2024 24:00 AM        , 28.8    
 , 7/22/2024 24:00 AM        , 48.7    
 , 7/23/2024 24:00 AM        , 3.8     
 , 7/24/2024 24:00 AM        , 7.3     
 , 7/25/2024 24:00 AM        , 6.1     
 , 7/26/2024 24:00 AM        , 9.3     
 , 7/27/2024 24:00 AM        , 21.0    
 , 7/28/2024 24:00 AM        , 13.1    
 , 7/29/2024 24:00 AM        , 8.7     
 , 7/30/2024 24:00 AM        , 3.1     
 , 7/31/2024 24:00 AM        , 3.9     
 , 8/1/2024 24:00 AM         , 8.3     
 , 8/2/2024 24:00 AM         , 10.9    
 , 8/3/2024 24:00 AM         , 16.1    
 , 8/4/2024 24:00 AM         , 24.9    
 , 8/5/2024 24:00 AM         , 13.2    
 , 8/6/2024 24:00 AM         , 10.2    
 , 8/7/2024 24:00 AM         , 8.0     
 , 8/8/2024 24:00 AM         , 9.4     
 , 8/9/2024 24:00 AM         , 9.8     
 , 8/10/2024 24:00 AM        , 14.4    
 , 8/11/2024 24:00 AM        , 15.7    
 , 8/12/2024 24:00 AM        , 12.7    
 , 8/13/2024 24:00 AM        , 18.5    
 , 8/14/2024 24:00 AM        , 17.7    
 , 8/15/2024 24:00 AM        , 9.7     
 , 8/16/2024 24:00 AM        , 29.9    
 , 8/17/2024 24:00 AM        , 15.2    
 , 8/18/2024 24:00 AM        , 8.4     
 , 8/19/2024 24:00 AM        , 3.7     
 , 8/20/2024 24:00 AM        , 5.1     
 , 8/21/2024 24:00 AM        , 4.1     
 , 8/22/2024 24:00 AM        , 6.9     
 , 8/23/2024 24:00 AM        , 9.1     
 , 8/24/2024 24:00 AM        , 1.1     
 , 8/25/2024 24:00 AM        , 2.5     
 , 8/26/2024 24:00 AM        , 3.6     
 , 8/27/2024 24:00 AM        , 3.9     
 , 8/28/2024 24:00 AM        , 7.6     
 , 8/29/2024 24:00 AM        , 5.2     
 , 8/30/2024 24:00 AM        , 7.9     
 , 8/31/2024 24:00 AM        , 5.4     
 , 9/1/2024 24:00 AM         , 7.2     
 , 9/2/2024 24:00 AM         , 12.9    
 , 9/3/2024 24:00 AM         , 8.5     
 , 9/4/2024 24:00 AM         , 8.4     
 , 9/5/2024 24:00 AM         , 14.7    
 , 9/6/2024 24:00 AM         , 13.1    
 , 9/7/2024 24:00 AM         , 16.4    
 , 9/8/2024 24:00 AM         , 16.0    
 , 9/9/2024 24:00 AM         , 7.4     
 , 9/10/2024 24:00 AM        , 4.3     
 , 9/11/2024 24:00 AM        , 7.7     
 , 9/12/2024 24:00 AM        , 7.4     
 , 9/13/2024 24:00 AM        , 7.2     
 , 9/14/2024 24:00 AM        , 1.8     
 , 9/15/2024 24:00 AM        , 2.7     
 , 9/16/2024 24:00 AM        , 5.7     
 , 9/17/2024 24:00 AM        , 7.2     
 , 9/18/2024 24:00 AM        , 5.2     
 , 9/19/2024 24:00 AM        , 6.8     
 , 9/20/2024 24:00 AM        , 2.3     
 , 9/21/2024 24:00 AM        , 3.0     
 , 9/22/2024 24:00 AM        , 6.0     
 , 9/23/2024 24:00 AM        , 4.9     
